1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
AM0009,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,アブサンショウウオ,Hynobius abuensis,B1ab,アブサンショウウオ,Hynobius abuensis,EN,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,1,1,0,―,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,―,1,0,0,―,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,―,0
AM0010,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,アキサンショウウオ,Hynobius akiensis,B1ab,アキサンショウウオ,Hynobius akiensis,EN,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,1,1,0,―,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,―,1,0,0,―,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,―,0
AM0011,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,ヤマグチサンショウウオ,Hynobius bakan,B1ab,ヤマグチサンショウウオ,Hynobius bakan,VU,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,0,1,0,―,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,―,1,0,0,―,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,―,0
AM0012,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,ハクバサンショウウオ,Hynobius hidamontanus,B2ab,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,EN,ハクバサンショウウオ,Hynobius hidamontanus,V,0,1,0,0,―,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,―,0
AM0013,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,イワミサンショウウオ,Hynobius iwami,B1ab,イワミサンショウウオ,Hynobius iwami,EN,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,0,1,0,―,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,―,1,0,0,―,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,―,0
AM0014,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,アカイシサンショウウオ,Hynobius katoi,B2ab,アカイシサンショウウオ,Hynobius katoi,EN,アカイシサンショウウオ,Hynobius katoi,EN,アカイシサンショウウオ,Hynobius katoi,EN,アカイシサンショウウオ,Hynobius katoi,EN,アカイシサンショウウオ,Hynobius katoi,EN,アカイシサンショウウオ,Hynobius katoi,EN,アカイシサンショウウオ,Hynobius katoi,EN,－,－,－,－,－,－,0,1,0,0,―,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
AM0015,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,イヨシマサンショウウオ,Hynobius kuishiensis,B1ab+2ab,イヨシマサンショウウオ,Hynobius kuishiensis,VU,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,1,0,0,―,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,―,1,0,0,―,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,―,0
AM0016,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,イズモサンショウウオ,Hynobius kunibiki,B1ab,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,0,1,0,―,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,―,1,0,0,―,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,―,0
AM0017,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,ブチサンショウウオ,Hynobius naevius,B1ab,ブチサンショウウオ,Hynobius naevius,EN,ブチサンショウウオ,Hynobius naevius,NT,ブチサンショウウオ,Hynobius naevius,NT,ブチサンショウウオ,Hynobius naevius,NT,ブチサンショウウオ,Hynobius naevius,NT,ブチサンショウウオ,Hynobius naevius,NT,ブチサンショウウオ,Hynobius naevius,NT,－,－,－,－,－,－,0,1,1,0,―,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
AM0018,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,オオスミサンショウウオ,Hynobius osumiensis,B2ab,オオスミサンショウウオ,Hynobius osumiensis,EN,オオスミサンショウウオ,Hynobius osumiensis,EN,オオスミサンショウウオ,Hynobius osumiensis,EN,オオスミサンショウウオ,Hynobius osumiensis,EN,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,1,0,0,―,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
AM0019,爬虫類・両生類,絶滅危惧IB類,EN,有尾目,サンショウウオ科,イワキサンショウウオ,Hynobius sengokui,B1ab+2ab,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,0,0,1,0,―,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,―,1,0,0,―,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,0,―,0,0,0,0,0,0,0,0,0,0,0,―,0,0,0,―,0,0,0,0,0,0,0,0,0,―,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,―,0
