カテゴリー,分類群,和名,学名
絶滅危惧ⅠＡ類（CR）,維管束植物,オオヤグルマシダ,Dryopteris wallichiana
絶滅危惧ⅠＡ類（CR）,維管束植物,オキナワアツイタ,Elaphoglossum callifolium
絶滅危惧ⅠＡ類（CR）,維管束植物,キュウシュウイノデ,Polystichum grandifrons
絶滅危惧ⅠＡ類（CR）,維管束植物,タカネシダ,Polystichum lachenense
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤシャイノデ,Polystichum neolobatum
絶滅危惧ⅠＡ類（CR）,維管束植物,アマミデンダ,Polystichum obae
絶滅危惧ⅠＡ類（CR）,維管束植物,サクラジマイノデ,Polystichum piceopaleaceum
絶滅危惧ⅠＡ類（CR）,維管束植物,シムライノデ,Polystichum shimurae
絶滅危惧ⅠＡ類（CR）,維管束植物,ワラビツナギ,Arthropteris palisotii
絶滅危惧ⅠＡ類（CR）,維管束植物,コモチナナバケシダ,Tectaria fauriei
絶滅危惧ⅠＡ類（CR）,維管束植物,ナガバウスバシダ,Tectaria kusukusensis
絶滅危惧ⅠＡ類（CR）,維管束植物,カザリシダ,Aglaomorpha coronans
絶滅危惧ⅠＡ類（CR）,維管束植物,ハカマウラボシ,Drynaria roosii
絶滅危惧ⅠＡ類（CR）,維管束植物,アマミアオネカズラ,Goniophlebium amamianum
絶滅危惧ⅠＡ類（CR）,維管束植物,トヨグチウラボシ,Lepisorus clathratus
絶滅危惧ⅠＡ類（CR）,維管束植物,ウロコノキシノブ,Lepisorus oligolepidus
絶滅危惧ⅠＡ類（CR）,維管束植物,オニマメヅタ,Lepisorus pyriformis
絶滅危惧ⅠＡ類（CR）,維管束植物,オキノクリハラン,Leptochilus decurrens
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒロハヒメウラボシ,Oreogrammitis nipponica
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒトツバマメヅタ,Pyrrosia adnascens
絶滅危惧ⅠＡ類（CR）,維管束植物,タイワンビロードシダ,Pyrrosia linearifolia var. heterolepis
絶滅危惧ⅠＡ類（CR）,維管束植物,キレハオオクボシダ,Tomophyllum sakaguchianum
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメコウホネ,Nuphar subintegerrima
絶滅危惧ⅠＡ類（CR）,維管束植物,シモツケコウホネ,Nuphar submersa
絶滅危惧ⅠＡ類（CR）,維管束植物,タイヨウフウトウカズラ,Piper postelsianum
絶滅危惧ⅠＡ類（CR）,維管束植物,オナガサイシン,Asarum caudigerum
絶滅危惧ⅠＡ類（CR）,維管束植物,グスクカンアオイ,Asarum gusk
絶滅危惧ⅠＡ類（CR）,維管束植物,シジキカンアオイ,Asarum hexalobum var. controversum
絶滅危惧ⅠＡ類（CR）,維管束植物,ジュロウカンアオイ,Asarum kinoshitae
絶滅危惧ⅠＡ類（CR）,維管束植物,タニムラアオイ,Asarum leucosepalum
絶滅危惧ⅠＡ類（CR）,維管束植物,オナガカンアオイ,Asarum minamitanianum
絶滅危惧ⅠＡ類（CR）,維管束植物,フクエジマカンアオイ,Asarum mitoanum
絶滅危惧ⅠＡ類（CR）,維管束植物,モノドラカンアオイ,Asarum monodoriflorum
絶滅危惧ⅠＡ類（CR）,維管束植物,ナゼカンアオイ,Asarum nazeanum
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒナカンアオイ,Asarum okinawense
絶滅危惧ⅠＡ類（CR）,維管束植物,トリガミネカンアオイ,Asarum pellucidum
絶滅危惧ⅠＡ類（CR）,維管束植物,サツマアオイ,Asarum satsumense
絶滅危惧ⅠＡ類（CR）,維管束植物,センカクカンアオイ,Asarum senkakuinsulare
絶滅危惧ⅠＡ類（CR）,維管束植物,アサトカンアオイ,Asarum tabatanum
絶滅危惧ⅠＡ類（CR）,維管束植物,シモダカンアオイ,Heterotropa muramatsui var. shimodana
絶滅危惧ⅠＡ類（CR）,維管束植物,クロボウモドキ,Monoon liukiuense
絶滅危惧ⅠＡ類（CR）,維管束植物,テングノハナ,Illigera luzonensis
絶滅危惧ⅠＡ類（CR）,維管束植物,オドリコテンナンショウ,Arisaema aprile
絶滅危惧ⅠＡ類（CR）,維管束植物,ホロテンナンショウ,Arisaema cucullatum
絶滅危惧ⅠＡ類（CR）,維管束植物,オオアマミテンナンショウ,Arisaema heterocephalum subsp. majus
絶滅危惧ⅠＡ類（CR）,維管束植物,オキナワテンナンショウ,Arisaema heterocephalum subsp. okinawense
絶滅危惧ⅠＡ類（CR）,維管束植物,イナヒロハテンナンショウ,Arisaema inaense
絶滅危惧ⅠＡ類（CR）,維管束植物,イシヅチテンナンショウ,Arisaema ishizuchiense
絶滅危惧ⅠＡ類（CR）,維管束植物,トクノシマテンナンショウ,Arisaema kawashimae
絶滅危惧ⅠＡ類（CR）,維管束植物,アマギテンナンショウ,Arisaema kuratae
絶滅危惧ⅠＡ類（CR）,維管束植物,シコクヒロハテンナンショウ,Arisaema longipedunculatum var. longipedunculatum
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒュウガヒロハテンナンショウ,Arisaema minamitanii
絶滅危惧ⅠＡ類（CR）,維管束植物,ナギヒロハテンナンショウ,Arisaema nagiense
絶滅危惧ⅠＡ類（CR）,維管束植物,ツクシテンナンショウ,Arisaema ogatae
絶滅危惧ⅠＡ類（CR）,維管束植物,セッピコテンナンショウ,Arisaema seppikoense
絶滅危惧ⅠＡ類（CR）,維管束植物,ユズノハカズラ,Pothos chinensis
絶滅危惧ⅠＡ類（CR）,維管束植物,サキシマハブカズラ,Rhaphidophora korthalsii
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメハブカズラ,Rhaphidophora liukiuensis
絶滅危惧ⅠＡ類（CR）,維管束植物,ナガエチャボゼキショウ,Tofieldia coccinea var. kiusiana
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒュウガハナゼキショウ,Tofieldia yoshiiana var. hyugaensis
絶滅危惧ⅠＡ類（CR）,維管束植物,アズミノヘラオモダカ,Alisma canaliculatum var. azuminoense
絶滅危惧ⅠＡ類（CR）,維管束植物,ホソバヘラオモダカ,Alisma canaliculatum var. harimense
絶滅危惧ⅠＡ類（CR）,維管束植物,カラフトグワイ,Sagittaria natans
絶滅危惧ⅠＡ類（CR）,維管束植物,セトヤナギスブタ,Blyxa alternifolia
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒメイバラモ,Najas tenuicaulis
